"id","date","shop","gruppa","name","characteristic","quantity","item","price","amount","id_store"
"57","2018-12-01","СтройМир на Пугачёва","Расходники","Уголок","крепёжный равносторонний 40 х 40 х 40 х 2,0мм.","12","шт.","7.00","84.00","66"
"58","2018-12-01","СтройМир на Пугачёва","Расходники","Уголок","крепёжный равносторонний 60 х 60 х 50 х 2,0мм.","6","шт.","14.00","84.00","66"
"59","2018-12-01","СтройМир на Пугачёва","Расходники","Пластина","крепёжная 30 х 100 х 2,0мм.","12","шт.","10.00","120.00","66"
"60","2018-12-15","СтройМир на Пугачёва","Электрика","Розетка","4-х местная ОП Оптима РА16-402 16А (в комплекте с монтажной пластиной), белая, Кунцево","3","шт.","190.00","570.00","66"
"61","2018-12-15","СтройМир на Пугачёва","Электрика","Розетка","2-х местная ОП Хит SchE RA16-238I-B, 16А, 250В  (без защитных шторок, с заземлением, с изолирующей пластиной), белая","2","шт.","100.00","200.00","66"
"62","2018-12-15","СтройМир на Пугачёва","Электрика","Розетка","2-х местная ОП Хит SchE RA16-237-B, 16А, 250В  (без защитных шторок, без заземления), белая","2","шт.","70.00","140.00","66"
"63","2018-12-15","СтройМир на Пугачёва","Электрика","Вилка","штепсельная универсальная В6-001, 6А, белая, Витебск","2","шт.","21.00","42.00","66"
"64","2018-12-15","СтройМир на Пугачёва","Электрика","Вилка","штепсельная косая с з/к ASD 8526","1","шт.","40.00","40.00","66"
"65","2018-12-15","СтройМир на Пугачёва","Электрика","Коробка","распаечная 3-х рожковая, пластиковая, белая (КОР-73)","2","шт.","12.00","24.00","66"
"66","2018-11-03","СтройМир на Чиркова","Расходники","Саморезы","3,5 х 55мм. (500шт.) по дереву","1","шт.","355.00","355.00","67"
"67","2018-11-03","СтройМир на Чиркова","Расходники","Саморезы","4,2 х 19мм. (100шт.) с пресс-шайбой острые","2","шт.","55.00","110.00","67"
"68","2018-11-03","СтройМир на Чиркова","Расходники","Гвозди","финишные 35 х 1,8мм. цинк (1кг.)","1","шт.","155.00","155.00","67"
"69","2018-11-03","СтройМир на Чиркова","Химия","Грунтовка","Альмира, глубокого проникновения, 5л.","1","шт.","255.00","255.00","67"
