Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
11,1657110689804,3636607,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0292969,0.0371094,1.0454102,1.5258789,-3.2348633,-0.1220703,0.0805664,0.3666992,0.4409180,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0550951,0.1927253,0.8902978,0.0000000
12,1657110689813,3636616,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0332031,0.0395508,1.0415039,4.0893555,-3.9672852,-0.4272461,0.0800781,0.3671875,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0550558,0.1926877,0.8902996,0.0000000
13,1657110689823,3636626,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0371094,0.0385742,1.0463867,2.5024414,-3.7231445,-0.6103516,0.0800781,0.3686523,0.4384766,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0550292,0.1926490,0.8903026,0.0000000
14,1657110689833,3636636,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0283203,0.0468750,1.0439453,2.5634766,-3.8452148,-0.2441406,0.0800781,0.3681641,0.4384766,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0550021,0.1926093,0.8903038,0.0000000
15,1657110689843,3636646,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0288086,0.0405273,1.0395508,3.2348633,-3.6621094,-0.1831055,0.0791016,0.3686523,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0549675,0.1925707,0.8903047,0.0000000
16,1657110689859,3636662,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0327148,0.0361328,1.0395508,1.4038086,-2.9907227,14.6484375,0.0791016,0.3691406,0.4394531,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0549436,0.1925205,0.8901910,0.0000000
17,1657110689869,3636672,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0361328,0.0439453,1.0366211,2.8076172,-4.1503906,0.9155273,0.0786133,0.3691406,0.4389648,14.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,36.0000000,0.0000000,0.0549138,0.1924766,0.8901865,0.0000000
18,1657110689879,3636682,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0288086,0.0429688,1.0395508,1.6479492,-4.2114258,0.4882812,0.0781250,0.3706055,0.4389648,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0548963,0.1924328,0.8901842,0.0000000
19,1657110689889,3636692,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0283203,0.0410156,1.0458984,1.2817383,-4.1503906,-0.4882812,0.0781250,0.3720703,0.4389648,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0548825,0.1923889,0.8901865,0.0000000
20,1657110689915,3636718,41445.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2445068,100046.0000000,2.0000000,3.20000,101.56000,100.51000,37.00000,0.00000,0.0000000,-0.0341797,0.0400391,1.0395508,2.8076172,-3.7841797,-0.3662109,0.0781250,0.3720703,0.4404297,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,36.0000000,0.0000000,0.0548049,0.1922865,0.8901912,0.0000000
