Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),timeStart (s),timeStartUTC (s),GPSLatitude (deg),GPSLongitude (deg),GPSHeight (m),GPSSat (),Temp (*C),Pressure (Pa),Heigh BME (m),Vbat (V),FR1 (%),FR2 (%),1 (),2 (),Vel (m/s),ALx (g),ALy (g),ALz (g),Agx (deg/s),Agy (deg/s),Agz (deg/s),MagX (Gauss),MagY (Gauss),MagZ (Gauss),TimeNRF (ms),TimeFR (ms),TimeVbat (ms),TimeBME280 (ms),TimeLSM6DSL (ms),TimeLIS3MDL (ms),TimeSdData (ms),quat (Gauss),quat1 (),quat2 (),quat3 (),quatGyro ()
281,1657110693405,3640208,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0312500,0.0454102,1.0473633,-2.5634766,-1.5869141,-5.6152344,0.0781250,0.3750000,0.4399414,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0457992,0.1779698,0.8908091,0.0000000
282,1657110693414,3640217,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0292969,0.0366211,1.0429688,1.7700195,-4.3945312,-1.8310547,0.0776367,0.3740234,0.4409180,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0457821,0.1779279,0.8908170,0.0000000
283,1657110693424,3640227,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0341797,0.0375977,1.0410156,1.2207031,-3.4179688,1.5869141,0.0776367,0.3735352,0.4409180,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0457694,0.1778923,0.8908094,0.0000000
284,1657110693434,3640237,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0268555,0.0390625,1.0366211,2.9907227,-4.1503906,-14.1601562,0.0776367,0.3730469,0.4404297,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0457375,0.1778483,0.8908778,0.0000000
285,1657110693444,3640247,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0258789,0.0444336,1.0439453,1.4648438,-3.3569336,-1.2207031,0.0766602,0.3715820,0.4404297,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0457220,0.1778127,0.8908837,0.0000000
286,1657110693460,3640263,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0292969,0.0488281,1.0371094,2.6855469,-3.9062500,1.0375977,0.0761719,0.3730469,0.4428711,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0456763,0.1777467,0.8908758,0.0000000
287,1657110693470,3640273,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0336914,0.0415039,1.0366211,3.5400391,-2.6855469,-0.1831055,0.0766602,0.3730469,0.4443359,14.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,26.0000000,0.0000000,0.0456386,0.1777184,0.8908767,0.0000000
288,1657110693480,3640283,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0346680,0.0468750,1.0366211,0.9765625,-3.5400391,-0.4882812,0.0771484,0.3725586,0.4462891,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0456279,0.1776817,0.8908790,0.0000000
289,1657110693490,3640293,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0307617,0.0351562,1.0434570,2.7465820,-4.1503906,-0.3051758,0.0771484,0.3720703,0.4448242,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0455987,0.1776377,0.8908805,0.0000000
290,1657110693517,3640320,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,98.46000,92.00000,37.00000,0.00000,0.0593565,-0.0292969,0.0444336,1.0468750,0.5493164,-3.7841797,-0.0610352,0.0776367,0.3720703,0.4433594,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,26.0000000,0.0000000,0.0455827,0.1775308,0.8908812,0.0000000
291,1657110693537,3640340,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0283203,0.0458984,1.0454102,0.4272461,-3.4790039,-2.4414062,0.0776367,0.3725586,0.4418945,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0455737,0.1774575,0.8909048,0.0000000
292,1657110693547,3640350,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0312500,0.0400391,1.0424805,2.3803711,-3.6010742,0.0610352,0.0776367,0.3740234,0.4418945,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,28.0000000,0.0000000,0.0455481,0.1774197,0.8909045,0.0000000
293,1657110693557,3640360,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0341797,0.0336914,1.0356445,2.5634766,-3.9672852,-0.7324219,0.0781250,0.3750000,0.4414062,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0455210,0.1773778,0.8909081,0.0000000
294,1657110693567,3640370,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0278320,0.0415039,1.0380859,2.8686523,-3.7841797,-0.7324219,0.0781250,0.3730469,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0454907,0.1773380,0.8909116,0.0000000
295,1657110693577,3640380,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0302734,0.0488281,1.0454102,1.4648438,-4.0283203,-0.4272461,0.0781250,0.3740234,0.4379883,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0454753,0.1772961,0.8909137,0.0000000
296,1657110693594,3640397,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0332031,0.0498047,1.0419922,2.9907227,-4.3334961,-0.7934570,0.0781250,0.3745117,0.4370117,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0454210,0.1772186,0.8909202,0.0000000
297,1657110693604,3640407,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0356445,0.0439453,1.0424805,-0.9155273,-3.7841797,-1.0986328,0.0786133,0.3740234,0.4370117,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0454306,0.1771787,0.8909256,0.0000000
298,1657110693614,3640417,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0302734,0.0390625,1.0395508,2.3193359,-3.8452148,-0.4882812,0.0781250,0.3740234,0.4375000,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0454062,0.1771389,0.8909279,0.0000000
299,1657110693624,3640427,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0351562,0.0410156,1.0415039,3.1127930,-3.9672852,0.2441406,0.0786133,0.3735352,0.4389648,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0453732,0.1770970,0.8909267,0.0000000
300,1657110693650,3640453,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.16000,97.82000,37.00000,0.00000,0.0593565,-0.0317383,0.0444336,1.0458984,1.5258789,-3.7231445,0.4882812,0.0791016,0.3720703,0.4409180,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0453312,0.1769954,0.8909206,0.0000000
301,1657110693671,3640474,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0593565,-0.0283203,0.0439453,1.0419922,-0.0610352,-2.6245117,-0.0610352,0.0791016,0.3710938,0.4399414,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0453328,0.1769377,0.8909212,0.0000000
302,1657110693681,3640484,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0593565,-0.0249023,0.0390625,1.0395508,2.0141602,-3.1127930,-2.1972656,0.0795898,0.3706055,0.4399414,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0453115,0.1769052,0.8909318,0.0000000
303,1657110693691,3640494,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0593565,-0.0336914,0.0434570,1.0395508,2.6245117,-3.6010742,-1.2207031,0.0791016,0.3706055,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0452838,0.1768675,0.8909377,0.0000000
304,1657110693701,3640504,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0593565,-0.0332031,0.0415039,1.0444336,2.3803711,-4.0893555,0.6103516,0.0786133,0.3701172,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0452583,0.1768245,0.8909348,0.0000000
305,1657110693711,3640514,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0593565,-0.0297852,0.0463867,1.0366211,3.3569336,-3.8452148,-0.6713867,0.0776367,0.3696289,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0452227,0.1767847,0.8909380,0.0000000
306,1657110693727,3640530,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0000000,-0.0346680,0.0429688,1.0424805,1.8920898,-3.7231445,-0.8544922,0.0771484,0.3706055,0.4394531,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0451902,0.1767218,0.8909447,0.0000000
307,1657110693737,3640540,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0000000,-0.0332031,0.0458984,1.0336914,3.4790039,-3.7231445,0.3662109,0.0761719,0.3706055,0.4370117,14.0000000,0.0000000,0.0000000,1.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0451530,0.1766831,0.8909429,0.0000000
308,1657110693747,3640550,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0000000,-0.0312500,0.0434570,1.0395508,1.8310547,-3.7231445,0.1831055,0.0756836,0.3710938,0.4345703,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0451333,0.1766443,0.8909420,0.0000000
309,1657110693757,3640560,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0000000,-0.0307617,0.0419922,1.0371094,1.7089844,-3.9062500,-0.3662109,0.0747070,0.3710938,0.4350586,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0451153,0.1766034,0.8909438,0.0000000
310,1657110693786,3640589,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,101.56000,100.17000,37.00000,0.00000,0.0000000,-0.0336914,0.0395508,1.0375977,0.6103516,-3.7841797,-0.5493164,0.0737305,0.3710938,0.4355469,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0450966,0.1764881,0.8909515,0.0000000
311,1657110693808,3640611,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0292969,0.0395508,1.0390625,0.6713867,-5.5541992,-5.3100586,0.0742188,0.3710938,0.4375000,15.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,32.0000000,0.0000000,0.0450807,0.1763603,0.8910080,0.0000000
312,1657110693817,3640620,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0322266,0.0395508,1.0424805,1.8920898,-4.6997070,-3.0517578,0.0747070,0.3710938,0.4384766,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0450626,0.1763163,0.8910213,0.0000000
313,1657110693827,3640630,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0302734,0.0429688,1.0439453,2.2583008,-4.2724609,1.5258789,0.0756836,0.3701172,0.4394531,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0450387,0.1762712,0.8910139,0.0000000
314,1657110693837,3640640,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0341797,0.0429688,1.0380859,3.9062500,-3.5400391,-0.9765625,0.0761719,0.3696289,0.4399414,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0449972,0.1762345,0.8910186,0.0000000
315,1657110693847,3640650,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0273438,0.0488281,1.0424805,1.6479492,-3.6010742,0.7324219,0.0766602,0.3691406,0.4414062,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0449796,0.1761968,0.8910151,0.0000000
316,1657110693863,3640666,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0312500,0.0454102,1.0385742,1.2207031,-3.8452148,0.6713867,0.0766602,0.3691406,0.4438477,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0449589,0.1761318,0.8910099,0.0000000
317,1657110693873,3640676,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0302734,0.0449219,1.0410156,-0.0610352,-3.2348633,-0.9155273,0.0771484,0.3696289,0.4438477,14.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,32.0000000,0.0000000,0.0449594,0.1760983,0.8910143,0.0000000
318,1657110693883,3640686,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0288086,0.0366211,1.0361328,3.2958984,-3.6621094,-1.2817383,0.0771484,0.3701172,0.4443359,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0449243,0.1760595,0.8910205,0.0000000
319,1657110693893,3640696,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0366211,0.0385742,1.0444336,2.0751953,-3.6621094,14.7094727,0.0771484,0.3696289,0.4428711,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0449020,0.1760207,0.8909494,0.0000000
320,1657110693919,3640722,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,99.52000,91.88000,37.00000,0.00000,0.0000000,-0.0302734,0.0424805,1.0361328,3.7841797,-3.7841797,0.0610352,0.0766602,0.3696289,0.4418945,14.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,32.0000000,0.0000000,0.0447972,0.1759180,0.8909486,0.0000000
321,1657110693938,3640741,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0292969,0.0419922,1.0371094,1.7700195,-5.9204102,2.6245117,0.0766602,0.3710938,0.4418945,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0447616,0.1758006,0.8909245,0.0000000
322,1657110693948,3640751,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0361328,0.0371094,1.0395508,0.9155273,-3.2958984,0.7324219,0.0761719,0.3715820,0.4418945,16.0000000,0.0000000,0.0000000,0.0000000,1.0000000,0.0000000,27.0000000,0.0000000,0.0447520,0.1757660,0.8909209,0.0000000
323,1657110693958,3640761,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0297852,0.0346680,1.0463867,2.7465820,-3.7231445,0.7324219,0.0756836,0.3725586,0.4414062,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0447228,0.1757272,0.8909174,0.0000000
324,1657110693968,3640771,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0273438,0.0468750,1.0444336,3.4790039,-3.7231445,-1.1596680,0.0756836,0.3730469,0.4394531,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0446855,0.1756884,0.8909230,0.0000000
325,1657110693978,3640781,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0283203,0.0419922,1.0444336,1.5869141,-3.7231445,-1.2207031,0.0756836,0.3725586,0.4404297,16.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0446685,0.1756497,0.8909289,0.0000000
326,1657110693995,3640798,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0219727,0.0541992,1.0405273,3.0517578,-3.4790039,0.3662109,0.0756836,0.3720703,0.4404297,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0446132,0.1755878,0.8909259,0.0000000
327,1657110694005,3640808,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0297852,0.0434570,1.0410156,5.9204102,-3.1738281,-15.5639648,0.0751953,0.3735352,0.4414062,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0445505,0.1755543,0.8910012,0.0000000
328,1657110694015,3640818,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0380859,0.0366211,1.0415039,2.8686523,-4.0893555,-0.2441406,0.0747070,0.3735352,0.4428711,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0445201,0.1755113,0.8910023,0.0000000
329,1657110694025,3640828,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0297852,0.0371094,1.0434570,2.1362305,-3.9062500,0.0610352,0.0751953,0.3725586,0.4428711,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0444973,0.1754704,0.8910020,0.0000000
330,1657110694052,3640855,41449.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,93.77000,90.13000,37.00000,0.00000,0.0000000,-0.0356445,0.0415039,1.0375977,2.5024414,-4.1503906,-0.5493164,0.0751953,0.3720703,0.4418945,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,27.0000000,0.0000000,0.0444255,0.1753530,0.8910092,0.0000000
331,1657110694072,3640875,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0263672,0.0415039,1.0400391,5.0659180,-5.4931641,1.8920898,0.0756836,0.3715820,0.4423828,15.0000000,0.0000000,1.0000000,0.0000000,0.0000000,1.0000000,28.0000000,0.0000000,0.0443175,0.1752377,0.8909909,0.0000000
332,1657110694082,3640885,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0312500,0.0429688,1.0395508,-0.1831055,-4.2114258,-0.4882812,0.0756836,0.3710938,0.4443359,15.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0443196,0.1751937,0.8909932,0.0000000
333,1657110694092,3640895,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0302734,0.0390625,1.0454102,3.6621094,-3.9062500,-0.9155273,0.0771484,0.3710938,0.4423828,15.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0442808,0.1751528,0.8909977,0.0000000
334,1657110694102,3640905,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0278320,0.0463867,1.0385742,2.1972656,-3.2348633,0.1220703,0.0766602,0.3710938,0.4423828,15.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0442574,0.1751193,0.8909971,0.0000000
335,1657110694112,3640915,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0273438,0.0463867,1.0375977,3.1127930,-4.3334961,-0.1220703,0.0771484,0.3706055,0.4414062,15.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0442244,0.1750742,0.8909977,0.0000000
336,1657110694128,3640931,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0268555,0.0502930,1.0385742,1.6479492,-4.1503906,-0.0610352,0.0771484,0.3706055,0.4389648,14.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0441962,0.1750050,0.8909982,0.0000000
337,1657110694138,3640941,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0336914,0.0385742,1.0424805,2.8076172,-4.0893555,-0.4272461,0.0771484,0.3710938,0.4404297,14.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0441665,0.1749620,0.8910002,0.0000000
338,1657110694148,3640951,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0253906,0.0351562,1.0458984,2.1362305,-3.9672852,0.1220703,0.0771484,0.3715820,0.4414062,14.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0441436,0.1749201,0.8909996,0.0000000
339,1657110694158,3640961,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0224609,0.0410156,1.0449219,2.5634766,-3.7841797,-0.6103516,0.0766602,0.3720703,0.4404297,14.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0441165,0.1748803,0.8910026,0.0000000
340,1657110694184,3640987,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,79.09000,83.92000,37.00000,0.00000,0.0000000,-0.0307617,0.0502930,1.0419922,3.4179688,-3.9672852,-0.7324219,0.0771484,0.3725586,0.4404297,14.0000000,0.0000000,1.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0440218,0.1747723,0.8910118,0.0000000
341,1657110694205,3641008,41450.0000000,56.4113083,40.9760094,125.0000000,18.0000000,31.2454224,100045.0000000,3.0000000,3.20000,96.58000,100.39000,37.00000,0.00000,0.0000000,-0.0288086,0.0395508,1.0410156,1.8920898,-5.4321289,2.6245117,0.0766602,0.3735352,0.4423828,15.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,28.0000000,0.0000000,0.0439798,0.1746528,0.8909851,0.0000000
